customer_id,customer_name,email,city,acquisition_channel,signup_date,customer_status,gender,age
C0001,Customer 1,customer1@mail.com,Mumbai,Direct,2023-07-18,InActive,M,24.0
C0002,Customer 2,customer2@mail.com,ahmedabad,Organic,2024-05-14,Active,M,32.0
C0003,Customer 3,customer3@mail.com,Mumbai,Social,2023-02-12,Inactive,M,35.0
C0004,Customer 4,customer4@mail.com,Mumbai, Ads ,2024-05-15,Actve,F,39.0
C0005,Customer 5,customer5@mail.com,Ahmedabad,Organic,2024-01-06,Actve,Other,20.0
C0006,Customer 6,customer6@mail.com,ahmedabad,Organic,2024-02-15,Active,Other,58.0
C0007,Customer 7,customer7@mail.com,DELHI,Referral,2025-03-28,InActive,Other,60.0
C0008,Customer 8,customer8@mail.com,MUMBAI,Organic,2023-04-22,Active,F,58.0
C0009,Customer 9,customer9@mail.com,mumbai,Referral,2023-12-29,InActive,Other,61.0
C0010,Customer 10,customer10@mail.com,ahmedabad,Direct,2022-12-17,InActive,M,35.0
C0011,Customer 11,customer11@mail.com,Delhi,Direct,2025-02-14,InActive,Other,21.0
C0012,Customer 12,customer12@mail.com,Mumbai,Referral,2024-04-01,Actve,M,54.0
C0013,Customer 13,customer13@mail.com,MUMBAI, Ads ,2024-10-19,Inactive,Other,34.0
C0014,Customer 14,customer14@mail.com,Delhi,Social,2025-01-08,Actve,Other,55.0
C0015,Customer 15,customer15@mail.com,mumbai, Ads ,2024-11-09,Inactive,M,25.0
C0016,Customer 16,customer16@mail.com,mumbai,Direct,2024-05-14,Active,F,47.0
C0017,Customer 17,customer17@mail.com,ahmedabad,Organic,2022-08-23,Actve,Other,36.0
C0018,Customer 18,customer18@mail.com,Ahmedabad,Organic,2023-06-24,InActive,Other,58.0
C0019,Customer 19,customer19@mail.com,Delhi,Social,2023-02-12,InActive,F,52.0
C0020,Customer 20,customer20@mail.com,ahmedabad,Organic,2023-10-26,Inactive,M,41.0
C0021,Customer 21,customer21@mail.com,DELHI,Referral,2023-05-06,Active,M,23.0
C0022,Customer 22,customer22@mail.com,Ahmedabad,Organic,2024-12-26,InActive,M,53.0
C0023,Customer 23,customer23@mail.com,ahmedabad,Social,2024-05-16,InActive,Other,62.0
C0024,Customer 24,customer24@mail.com,MUMBAI, referral ,2024-02-04,Inactive,Other,33.0
C0025,Customer 25,customer25@mail.com,MUMBAI,Organic,2025-02-08,InActive,Other,22.0
C0026,Customer 26,customer26@mail.com,Mumbai, Ads ,2022-05-19,Active,F,33.0
C0027,Customer 27,customer27@mail.com,Ahmedabad, Ads ,2025-01-09,InActive,Other,54.0
C0028,Customer 28,customer28@mail.com,mumbai, referral ,2024-04-13,InActive,M,45.0
C0029,Customer 29,customer29@mail.com,Ahmedabad, referral ,2022-04-21,Active,M,39.0
C0030,Customer 30,customer30@mail.com,Mumbai, Ads ,2023-01-28,InActive,Other,45.0
C0031,Customer 31,customer31@mail.com,Ahmedabad, Ads ,2022-06-04,Inactive,Other,59.0
C0032,Customer 32,customer32@mail.com,DELHI,Organic,2022-07-11,InActive,M,48.0
C0033,Customer 33,customer33@mail.com,Ahmedabad,Organic,2022-12-04,Inactive,M,34.0
C0034,Customer 34,customer34@mail.com,DELHI, referral ,2023-08-08,Inactive,Other,53.0
C0035,Customer 35,customer35@mail.com,Ahmedabad, Ads ,2023-01-24,Actve,M,55.0
C0036,Customer 36,customer36@mail.com,Mumbai,Direct,2023-10-05,Active,M,50.0
C0037,Customer 37,customer37@mail.com,ahmedabad, Ads ,2022-04-27,Active,M,22.0
C0038,Customer 38,customer38@mail.com,mumbai, referral ,2022-09-03,InActive,Other,57.0
C0039,Customer 39,customer39@mail.com,Delhi,Social,2025-03-03,Actve,F,63.0
C0040,Customer 40,customer40@mail.com,MUMBAI, referral ,2022-09-26,Actve,F,22.0
C0041,Customer 41,,ahmedabad,Social,2022-07-24,Active,Other,34.0
C0042,Customer 42,customer42@mail.com,MUMBAI,Organic,2023-05-16,Actve,F,52.0
C0043,Customer 43,customer43@mail.com,ahmedabad,Direct,2024-12-19,Active,Other,37.0
C0044,Customer 44,customer44@mail.com,Mumbai, Ads ,2023-06-26,Active,M,27.0
C0045,Customer 45,customer45@mail.com,ahmedabad, Ads ,2023-12-04,InActive,Other,34.0
C0046,Customer 46,customer46@mail.com,MUMBAI,Organic,2022-07-09,Inactive,F,39.0
C0047,Customer 47,customer47@mail.com,Delhi,Referral,2022-11-27,Inactive,Other,53.0
C0048,Customer 48,,Mumbai,Direct,2022-11-02,Active,F,27.0
C0049,Customer 49,customer49@mail.com,Mumbai,Referral,2024-01-17,Active,F,33.0
C0050,Customer 50,customer50@mail.com,MUMBAI,Social,2024-04-12,InActive,M,29.0
C0051,Customer 51,customer51@mail.com,Mumbai, Ads ,2023-11-12,Inactive,Other,33.0
C0052,Customer 52,customer52@mail.com,DELHI,Direct,2022-08-10,Inactive,M,32.0
C0053,Customer 53,customer53@mail.com,Ahmedabad,Referral,2023-09-18,InActive,M,
C0054,Customer 54,customer54@mail.com,MUMBAI,Referral,2022-05-23,Actve,F,43.0
C0055,Customer 55,customer55@mail.com,DELHI,Social,2023-11-10,Active,M,34.0
C0056,Customer 56,customer56@mail.com,MUMBAI,Organic,2022-08-11,Inactive,F,38.0
C0057,Customer 57,customer57@mail.com,ahmedabad,Organic,2024-02-28,InActive,F,45.0
C0058,Customer 58,,DELHI,Social,2023-02-08,Actve,F,60.0
C0059,Customer 59,customer59@mail.com,ahmedabad,Referral,2022-09-13,Actve,Other,44.0
C0060,Customer 60,customer60@mail.com,Delhi,Referral,2025-02-09,InActive,M,42.0
C0061,Customer 61,customer61@mail.com,mumbai,Social,2025-03-11,Actve,F,18.0
